generation,robot_ids
0,"[67, 78, 27, 40, 44, 66, 95, 21, 37, 58, 52, 15, 92, 84, 53, 12, 41, 91, 77, 38, 64, 19, 85, 49, 45, 86, 35, 88, 70, 80, 17, 23, 57, 39, 62, 22, 29, 4, 76, 25, 61, 60, 81, 73, 72, 89, 51, 3, 11, 24, 10, 33, 56, 75, 59, 43, 47, 32, 74, 90, 99, 7, 1, 5, 26, 13, 71, 31, 63, 54, 100, 6, 96, 82, 48, 83, 79, 69, 87, 46, 18, 20, 94, 16, 36, 14, 34, 9, 28, 68, 98, 93, 30, 97, 55, 65, 50, 8, 42, 2]"
1,"[67, 78, 40, 106, 136, 103, 95, 58, 127, 145, 52, 15, 111, 119, 92, 84, 12, 41, 134, 123, 19, 86, 35, 88, 138, 113, 115, 112, 17, 130, 57, 147, 62, 107, 122, 4, 101, 104, 76, 146, 61, 60, 73, 89, 51, 11, 24, 110, 10, 33, 75, 59, 102, 32, 74, 90, 99, 7, 26, 126, 13, 71, 109, 31, 131, 63, 140, 54, 105, 6, 96, 120, 69, 87, 46, 144, 116, 132, 94, 16, 149, 36, 34, 141, 148, 9, 28, 118, 68, 93, 125, 117, 55, 124, 65, 135, 50, 8, 42, 143]"
2,"[78, 106, 136, 103, 153, 180, 165, 58, 182, 15, 175, 192, 199, 84, 12, 41, 179, 151, 161, 172, 190, 163, 134, 123, 19, 178, 86, 35, 88, 113, 158, 196, 173, 115, 112, 17, 130, 57, 156, 198, 4, 176, 104, 160, 195, 168, 146, 60, 166, 89, 51, 110, 75, 59, 159, 167, 183, 164, 184, 74, 99, 26, 126, 13, 200, 31, 131, 187, 140, 105, 6, 174, 189, 69, 87, 46, 155, 132, 94, 16, 194, 149, 152, 34, 148, 9, 28, 177, 162, 191, 118, 125, 117, 55, 124, 181, 185, 65, 171, 143]"
3,"[246, 136, 153, 180, 165, 212, 213, 175, 199, 84, 210, 224, 151, 214, 161, 172, 247, 190, 134, 123, 19, 178, 219, 230, 86, 113, 196, 206, 223, 173, 115, 201, 112, 17, 207, 130, 57, 204, 226, 4, 176, 160, 208, 195, 168, 225, 146, 241, 166, 235, 51, 110, 243, 59, 159, 167, 183, 209, 164, 184, 231, 13, 244, 140, 105, 228, 239, 6, 174, 240, 234, 211, 248, 242, 189, 69, 87, 46, 232, 132, 94, 16, 149, 152, 220, 34, 148, 9, 28, 177, 191, 118, 117, 55, 124, 181, 65, 229, 221, 143]"
4,"[246, 153, 180, 262, 280, 251, 213, 84, 210, 297, 151, 214, 161, 254, 190, 134, 19, 178, 219, 86, 283, 113, 266, 206, 223, 173, 115, 201, 281, 207, 130, 57, 263, 226, 282, 4, 290, 176, 273, 195, 168, 259, 274, 166, 296, 295, 235, 252, 51, 59, 159, 209, 260, 13, 244, 140, 270, 105, 279, 6, 174, 240, 234, 211, 248, 242, 69, 87, 46, 132, 287, 94, 149, 152, 220, 34, 253, 148, 9, 261, 268, 28, 284, 177, 293, 191, 118, 265, 289, 258, 291, 117, 55, 181, 278, 257, 65, 229, 264, 267]"
5,"[338, 246, 318, 308, 262, 309, 280, 251, 213, 315, 210, 297, 214, 161, 254, 306, 329, 190, 134, 334, 19, 323, 178, 219, 330, 302, 266, 206, 348, 341, 173, 201, 281, 310, 130, 319, 57, 324, 325, 343, 226, 282, 350, 290, 311, 273, 274, 166, 235, 252, 314, 59, 159, 260, 13, 322, 244, 140, 328, 270, 279, 6, 174, 240, 234, 332, 211, 248, 242, 346, 69, 87, 46, 287, 94, 149, 307, 34, 253, 148, 261, 28, 284, 293, 191, 118, 335, 265, 289, 326, 258, 117, 55, 181, 313, 278, 257, 65, 267, 320]"
6,"[246, 318, 370, 308, 309, 251, 315, 358, 210, 297, 214, 374, 161, 329, 376, 399, 334, 219, 330, 302, 389, 353, 266, 206, 352, 348, 395, 341, 173, 201, 281, 130, 319, 387, 324, 325, 368, 375, 398, 343, 282, 361, 350, 290, 311, 273, 274, 235, 252, 392, 390, 314, 394, 369, 260, 381, 13, 388, 365, 244, 377, 328, 270, 279, 240, 396, 234, 384, 242, 364, 346, 69, 87, 46, 94, 351, 366, 149, 307, 253, 148, 261, 28, 284, 191, 118, 335, 265, 289, 326, 258, 117, 360, 55, 181, 313, 355, 257, 65, 267]"
7,"[432, 318, 370, 308, 309, 251, 409, 358, 210, 297, 433, 374, 161, 329, 404, 376, 399, 334, 429, 402, 408, 219, 415, 330, 353, 434, 206, 352, 348, 395, 341, 173, 201, 435, 417, 387, 325, 368, 375, 343, 282, 361, 350, 450, 311, 274, 436, 252, 438, 392, 390, 314, 426, 369, 412, 260, 444, 381, 449, 13, 388, 377, 443, 328, 427, 410, 279, 240, 396, 234, 384, 419, 364, 346, 46, 351, 366, 149, 307, 253, 261, 28, 284, 424, 118, 335, 405, 289, 326, 258, 117, 55, 181, 313, 442, 65, 406, 425, 267, 413]"
8,"[318, 461, 308, 309, 454, 458, 251, 210, 457, 476, 497, 297, 433, 478, 374, 462, 329, 495, 404, 376, 399, 429, 498, 402, 219, 415, 330, 353, 434, 206, 352, 348, 395, 483, 455, 467, 474, 417, 470, 368, 375, 282, 361, 450, 274, 484, 471, 436, 492, 252, 392, 426, 493, 485, 369, 412, 260, 381, 449, 388, 451, 377, 489, 443, 490, 328, 475, 427, 279, 240, 452, 384, 419, 364, 46, 463, 466, 351, 366, 307, 253, 469, 261, 28, 284, 424, 118, 289, 326, 258, 117, 459, 55, 456, 181, 313, 442, 65, 481, 425]"
9,"[318, 517, 547, 309, 526, 530, 454, 458, 251, 210, 476, 497, 550, 524, 297, 433, 478, 374, 462, 329, 495, 376, 399, 429, 402, 415, 538, 330, 353, 506, 434, 512, 395, 532, 528, 483, 455, 467, 474, 417, 470, 511, 520, 368, 375, 282, 548, 361, 450, 523, 274, 534, 543, 471, 492, 392, 514, 504, 493, 485, 412, 260, 388, 451, 503, 377, 443, 490, 328, 542, 475, 427, 279, 384, 419, 515, 505, 463, 466, 351, 366, 533, 307, 531, 469, 28, 284, 424, 529, 289, 326, 258, 456, 535, 510, 545, 65, 522, 425, 508]"
10,"[557, 555, 517, 547, 573, 560, 526, 530, 458, 251, 574, 210, 476, 550, 581, 524, 297, 374, 462, 594, 376, 399, 429, 415, 538, 330, 353, 506, 512, 395, 532, 528, 483, 455, 568, 417, 511, 520, 368, 375, 548, 361, 450, 599, 543, 471, 584, 554, 492, 558, 514, 571, 504, 600, 493, 578, 412, 260, 388, 451, 443, 561, 490, 542, 475, 427, 569, 384, 587, 596, 419, 553, 579, 564, 505, 463, 582, 591, 351, 366, 580, 533, 307, 531, 469, 28, 284, 529, 289, 583, 552, 556, 597, 510, 551, 545, 65, 522, 567, 508]"
11,"[557, 555, 517, 573, 626, 605, 526, 458, 251, 574, 210, 476, 581, 297, 625, 374, 594, 617, 640, 429, 415, 538, 330, 632, 353, 506, 512, 395, 618, 634, 532, 528, 483, 455, 417, 615, 520, 368, 375, 548, 361, 450, 602, 543, 471, 554, 621, 558, 514, 571, 504, 637, 493, 578, 412, 260, 388, 451, 443, 561, 490, 542, 475, 427, 647, 569, 642, 384, 587, 638, 419, 553, 579, 608, 505, 610, 463, 591, 624, 650, 580, 533, 307, 609, 616, 531, 469, 28, 284, 529, 289, 583, 552, 556, 597, 551, 545, 522, 567, 508]"
12,"[557, 655, 555, 517, 653, 626, 605, 526, 458, 251, 673, 574, 476, 700, 676, 297, 625, 374, 691, 699, 594, 617, 429, 415, 538, 330, 632, 669, 512, 395, 618, 652, 634, 532, 528, 483, 455, 656, 685, 692, 520, 368, 548, 450, 679, 602, 543, 471, 554, 621, 558, 514, 571, 504, 662, 637, 493, 578, 388, 451, 697, 443, 561, 490, 542, 647, 569, 642, 384, 587, 638, 419, 672, 670, 553, 579, 608, 505, 591, 624, 650, 533, 307, 658, 616, 531, 469, 681, 687, 289, 583, 552, 556, 597, 689, 551, 694, 545, 688, 508]"
13,"[557, 655, 517, 653, 748, 626, 605, 720, 701, 458, 251, 673, 574, 700, 676, 691, 699, 708, 594, 617, 744, 732, 429, 743, 415, 538, 330, 632, 669, 512, 618, 634, 532, 528, 483, 455, 656, 685, 709, 520, 548, 450, 702, 602, 704, 729, 543, 471, 728, 554, 734, 621, 713, 558, 571, 504, 706, 493, 578, 735, 749, 723, 451, 697, 443, 490, 542, 739, 647, 569, 642, 710, 587, 638, 419, 672, 703, 736, 553, 714, 579, 608, 624, 650, 533, 307, 658, 616, 681, 687, 289, 583, 552, 597, 551, 694, 545, 721, 746, 508]"
