robot_id,branching,branching_modules_count,limbs,extremities,length_of_limbs,extensiveness,coverage,joints,hinge_count,active_hinges_count,brick_count,touch_sensor_count,brick_sensor_count,proportion,width,height,absolute_size,sensors,symmetry,avg_period,dev_period,avg_phase_offset,dev_phase_offset,avg_amplitude,dev_amplitude,avg_intra_dev_params,avg_inter_dev_params,sensors_reach,recurrence,synaptic_reception
1,0,0,0.125,2,0.9090909090909091,20,0.19047619047619047,0.7272727272727273,18,16,5,3,0,0.3888888888888889,7,18,24,0.25,0,0.7570303173066908,0.9116815917377606,0.6835274080509695,0.9352585684972995,0.385680710018479,0.9300076329854629,0.9067212609436555,0.9262541206001532,0.4444444444444444,0.2777777777777778,0.0
2,0,0,0.25,2,0.8888888888888888,8,0.3055555555555556,0.6666666666666666,7,6,3,1,0,1.0,6,6,11,0.1111111111111111,0.2,0.6695131303357474,0.9370939136990526,0.27829794680979647,0.8206356444629062,0.4056343206585741,0.9049606120254263,0.7961365296581968,0.8964573259767303,1.0,0.7142857142857143,0.0
3,0.16666666666666666,1,0.35714285714285715,5,0.6842105263157895,13,0.328125,0.631578947368421,15,12,5,0,0,1.0,8,8,21,0.0,0.10526315789473684,0.32837195236949146,0.7880065977217814,0.4475167839211885,0.826465642545385,0.7335646721003083,0.9542572438826111,0.8678432542526353,0.877669599795655,0,0,0.0
4,0,0,0.1,2,0.9285714285714286,26,0.19736842105263158,0.6071428571428571,17,17,12,4,0,0.42105263157894735,8,19,30,0.14285714285714285,0,0.4944946501699922,0.8538106309620548,0.29210415213293767,0.9597831963508922,0.7989510092039512,0.9465616354950709,0.9089969639032656,0.9311086549329964,0.23529411764705882,0.058823529411764705,0.0
5,0,0,0.125,1,1.0,10,1.0,0.9,9,9,2,1,0,0.08333333333333333,12,1,12,0.125,0,0.5253698197208149,0.9640650371331515,0.6418735624716713,0.958072975477786,0.32340678697584996,0.9510260890991069,0.9474780602891169,0.9580423706659448,1.0,0.2222222222222222,0.0
6,0,0,0.2857142857142857,2,0.75,6,0.35714285714285715,0.75,8,6,1,0,0,0.5714285714285714,7,4,10,0.0,0,0.6270748000312951,0.8993578500691157,0.6295964059200732,0.9569332489234256,0.5129258824558356,0.8698277913420056,0.8877305493127065,0.9165862551918565,0,0,0.0
7,0,0,1.0,2,0.0,0,0.75,0,2,0,0,0,0,1.0,2,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0.3333333333333333,1,1.0,2,1.0,0,0,0,3,0,0,1.0,2,2,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0.3333333333333333,1,1.0,2,0.6666666666666666,0.5,1,1,2,0,0,0.6666666666666666,3,2,4,0.0,0,0.4518103874407573,0.5,0.883444839320784,0.5,0.7513858851815405,0.5,0.8588576463132724,0.5,0,0,0.0
10,0,0,0.4,2,0.8,4,0.5833333333333334,0.8,6,4,0,0,0,0.3333333333333333,6,2,7,0.0,0,0.36055209720250386,0.870342670307394,0.3945264065786295,0.7515661610448237,0.5844526510757201,0.8674357743498229,0.7731939690381072,0.8361444704542029,0,0,0.0
11,0,0,0.3333333333333333,1,1.0,2,1.0,0.5,2,1,1,0,0,0.25,1,4,4,0.0,0,0.434208930060317,0.5003443133032307,0.593943089076767,0.9734813322034805,0.36480768836264577,0.6900349125984085,0.8373182118207518,0.8127881801232277,0,0,0.0
12,0,0,0.5,2,0.6666666666666666,2,0.625,0.6666666666666666,4,2,0,2,0,0.5,4,2,5,1.0,0,0.33468275936713426,0.8974364334070104,0.4730650959598502,0.9498324672370994,0.2738399970618022,0.913723505102273,0.9188891293249698,0.9234365748377318,0.625,0,0.0
13,0,0,0.25,2,0.9,9,1.0,0.9,11,9,0,0,0,0.08333333333333333,12,1,12,0.0,0.5454545454545454,0.6248673296276956,0.8924818461505292,0.34728190398929887,0.9505597223559855,0.3653816801170632,0.9391782915849332,0.9121279944280959,0.9310691805890361,0,0,0.0
14,0,0,0.5,1,1.0,1,1.0,1.0,1,1,1,0,0,0.3333333333333333,3,1,3,0.0,0,0.14397930319699545,0.5,0.884283559129482,0.5,0.812648050843298,0.5,0.9655714247831322,0.5,0,0,0.0
15,0,0,1.0,1,0,0,1.0,0,1,0,0,0,0,0.5,2,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,1.0,1,0,0,1.0,0,0,0,1,2,0,0.5,2,1,2,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,1.0,3,0.0,0,0.6666666666666666,0,2,0,1,0,0,0.6666666666666666,3,2,4,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0
