robot_id	displacement_velocity_hill	head_balance	contacts	displacement_velocity	branching	branching_modules_count	limbs	extremities	length_of_limbs	extensiveness	coverage	joints	hinge_count	active_hinges_count	brick_count	touch_sensor_count	brick_sensor_count	proportion	width	height	absolute_size	sensors	symmetry	avg_period	dev_period	avg_phase_offset	dev_phase_offset	avg_amplitude	dev_amplitude	avg_intra_dev_params	avg_inter_dev_params	sensors_reach	recurrence	synaptic_reception	fitness
1403	0.0034994526328738416	0.6365315431932983	0.0	0.008903202556593078	0	0	0.1	1	1.0	12	1.0	1.0	13	12	0	1	0	0.07142857142857142	1	14	14	0.3333333333333333	0	0.5055599716441092	0.9089181476234659	0.6655464622847587	0.7571862726964168	0.5720716476165527	0.8205507573940112	0.8242638492021102	0.8392463895501716	1.0	0.15384615384615385	0.0	0.0034994526328738416
4317	0.0190078784263599	0.962351786989503	0.0	0.01911740299132444	0	0	0.1	1	1.0	13	1.0	1.0	14	13	0	1	0	0.06666666666666667	1	15	15	0.3333333333333333	0	0.4963170109726329	0.9359798256178106	0.7111004277632158	0.8385196680056545	0.24885831250668092	0.8721824496667836	0.9123199206286835	0.8892741630733074	1.0	0.07142857142857142	0.0	0.0190078784263599
118	-4.702433804304469e-06	0.9942400111923632	0.0	0.00022328696839148896	0	0	0.3333333333333333	1	1.0	2	1.0	1.0	3	2	0	1	0	0.25	4	1	4	0.3333333333333333	0	0.23137710187681798	0.7786004419919939	0.6411349715446113	0.843804758557915	0.7722116736809709	0.9310505465687664	0.9132549848449655	0.8640207415625689	1.0	0.6666666666666666	0.0	-4.702433804304469e-07
2999	0.039681393239186825	0.9601535817186637	0.0	0.045302358767322956	0	0	0.08333333333333333	1	1.0	16	1.0	0.9375	16	15	1	1	0	0.05555555555555555	1	18	18	0.2	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8594214337809699	0.24885831250668092	0.8571108518777308	0.9123199206286835	0.89273659033932	1.0	0.125	0.0	0.039681393239186825
131	0.0014748238376486255	0.9518916730619119	0.0	0.0016282189033905625	0	0	0.1	1	1.0	12	0.3888888888888889	0.25	4	3	9	4	0	0.4444444444444444	4	9	14	0.19047619047619047	0.16666666666666666	0.7508723944508136	0.9678672649927529	0.5333712154188055	0.8473478820854228	0.5597015709505168	0.8047534501353062	0.9348088308575782	0.8983003619400672	0.25	0.25	0.0	0.0014748238376486255
3935	0.03173337950265989	0.9634073708646833	0.0	0.03355669181873647	0	0	0.07142857142857142	1	1.0	19	1.0	1.0	20	19	0	1	0	0.047619047619047616	1	21	21	0.3333333333333333	0	0.4963170109726329	0.9364612704612607	0.6615046550765503	0.8560274527673959	0.24885831250668092	0.8559598783884526	0.9123199206286835	0.8894455358374679	1.0	0.1	0.0	0.03173337950265989
1838	0.03346287914137544	0.7395901430380856	0.0	0.03366315215616532	0	0	0.08333333333333333	1	1.0	16	1.0	1.0	17	16	0	0	0	0.05555555555555555	18	1	18	0.0	0	0.579594464831021	0.7854167590637686	0.41542780053295536	0.7307811121054621	0.5476525330661451	0.7957567831832735	0.6912999471951368	0.7718339903027551	0	0	0.0	0.03346287914137544
171	0.00287075680178001	0.9453327726326973	0.0	0.0045946508584483155	0	0	0.375	3	0.5555555555555556	5	0.36666666666666664	0.5555555555555556	5	5	5	1	0	0.8333333333333334	5	6	11	0.07142857142857142	0.3333333333333333	0.6957244163526833	0.8072081229794984	0.3040211997634198	0.8437431733129865	0.885113517274654	0.9756428277340449	0.9147569376559289	0.9063218251000439	1.0	0	0.0	0.00287075680178001
4089	0.004783834503026172	0.9602620962769236	0.0	0.011121351686771272	0	0	0.06666666666666667	1	1.0	20	1.0	1.0	21	20	0	1	0	0.045454545454545456	1	22	22	0.3333333333333333	0	0.4963170109726329	0.956399656717957	0.6615046550765503	0.9385725384889092	0.5421480387657135	0.8442163182561444	0.9123199206286835	0.9242481778045366	1.0	0.09523809523809523	0.0	0.004783834503026172
434	0.012218404225847076	0.8595595481378564	0.0	0.021886958210360172	0	0	0.06666666666666667	1	1.0	20	0.3384615384615385	0.85	18	17	3	3	0	0.38461538461538464	13	5	22	0.3333333333333333	0	0.4347603983701346	0.8943107780072801	0.5284414497258998	0.8620338709554578	0.3547967527720018	0.9069273707625096	0.7782512160555836	0.8890926550426218	0.05555555555555555	0.1111111111111111	0.0	0.012218404225847076
3827	0.03506479932409934	0.962416972405366	0.0	0.0358516531899404	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8594214337809699	0.24885831250668092	0.8523941739702043	0.9123199206286835	0.8915177877195314	1.0	0.0625	0.0	0.03506479932409934
939	0.00780705340001872	0.6513617025155605	0.0	0.015248056520413233	0	0	0.06666666666666667	1	1.0	20	1.0	1.0	21	20	0	0	0	0.045454545454545456	1	22	22	0.0	0	0.579594464831021	0.9295432867446568	0.5180922901177054	0.7920232451359501	0.5323979344257783	0.8384808610504998	0.8242638492021102	0.8646673598549658	0	0	0.0	0.00780705340001872
2182	0.02193320059371311	0.7317534348366621	0.0	0.022039984182947073	0	0	0.07142857142857142	1	1.0	19	1.0	1.0	20	19	0	0	0	0.047619047619047616	21	1	21	0.0	0	0.579594464831021	0.8864612646176835	0.5180922901177054	0.7594417675626147	0.5323979344257783	0.842374659048019	0.6912999471951368	0.8357453850331148	0	0	0.0	0.02193320059371311
2051	0.03644938139888098	0.7275213948534198	0.0	0.0367595875209493	0	0	0.08333333333333333	1	1.0	16	1.0	1.0	17	16	0	0	0	0.05555555555555555	18	1	18	0.0	0	0.579594464831021	0.7854167590637686	0.41542780053295536	0.7307811121054621	0.5476525330661451	0.7957567831832735	0.6912999471951368	0.7718339903027551	0	0	0.0	0.03644938139888098
3397	0.042502778773871285	0.9623072484181702	0.0	0.04587954873693339	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8594214337809699	0.24885831250668092	0.8590644658835462	0.9123199206286835	0.8932476061332129	1.0	0.0625	0.0	0.042502778773871285
1859	0.03377701304428835	0.7391354596160304	0.0	0.0340069224181576	0	0	0.08333333333333333	1	1.0	16	1.0	1.0	17	16	0	0	0	0.05555555555555555	18	1	18	0.0	0	0.579594464831021	0.7854167590637686	0.41542780053295536	0.7307811121054621	0.5476525330661451	0.7957567831832735	0.6912999471951368	0.7718339903027551	0	0	0.0	0.03377701304428835
400	0.011978733113571814	0.6945467906919499	0.0	0.012019729934114157	0	0	0.125	1	1.0	9	1.0	1.0	10	9	0	0	0	0.09090909090909091	11	1	11	0.0	0	0.2934658135059078	0.7853219012802006	1.0	0.6984413074129516	0.5605174543032752	0.8077109618071435	0.9437413086165226	0.7668629646064353	0	0	0.0	0.011978733113571814
2042	0.03723303687769748	0.7389362523152003	0.0	0.03724474745227124	0	0	0.08333333333333333	1	1.0	16	1.0	1.0	17	16	0	0	0	0.05555555555555555	18	1	18	0.0	0	0.579594464831021	0.7854167590637686	0.41542780053295536	0.7307811121054621	0.5476525330661451	0.7957567831832735	0.6912999471951368	0.7718339903027551	0	0	0.0	0.03723303687769748
4103	0.0428761887812508	0.9623887182908478	0.0	0.04666773122444108	0	0	0.08333333333333333	1	1.0	15	1.0	1.0	16	15	0	1	0	0.058823529411764705	1	17	17	0.3333333333333333	0	0.4963170109726329	0.9401962884438246	0.6615046550765503	0.8594214337809699	0.24885831250668092	0.8590644658835462	0.9123199206286835	0.8932476061332129	1.0	0.125	0.0	0.0428761887812508
2126	0.013877580141715544	0.7960235207017525	0.0	0.014824011194657934	0	0	0.1111111111111111	1	1.0	11	1.0	1.0	12	11	0	0	0	0.07692307692307693	13	1	13	0.0	0	0.4963170109726329	0.7386247815507962	1.0	0.8879889096179113	0.28565673410974635	0.7821089665663368	0.9531631937067555	0.8118991386097454	0	0	0.0	0.013877580141715544
